sentence,sentiment,sentence_original,positive_score,negative_score,sentiment_analysis_time,positive_low,positive_medium,positive_high,negative_low,negative_medium,negative_high,computed_sentiment,sentiment_class
i loooooooovvvvvveee my kindle not that the Deluxe is cool but the is fantastic in its own right,1,i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1.0,0.0,0.0040230751037597,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
reading my kindle love it lee childs is good read,1,reading my kindle love it lee childs is good read,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
ok first assesment of the kindle it hecking rocks,1,ok first assesment of the kindle it fucking rocks,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
you will love your kindle I have had mine for a few months and never looked back the new big one is huge no need for remorse,1,you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,0.6017699115044248,0.3982300884955753,0.0,0.0,0.7964601769911503,0.20353982300884965,0.20353982300884943,0.7964601769911506,0.0,5.099850720098319,Neutral
fair enough but i have the kindle and i think itis perfect,1,fair enough but i have the kindle and i think it s perfect,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
no it is too big i m quite happy with the kindle,1,no it is too big i m quite happy with the kindle,0.6444954128440367,0.3555045871559633,0.0,0.0,0.7110091743119267,0.2889908256880733,0.28899082568807344,0.7110091743119266,0.0,5.213931678603511,Neutral
fuck this economy i hate aig and their non loan given asses,0,fuck this economy i hate aig and their non loan given asses,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6666666666666665,Negative
jquery is my new best friend,1,jquery is my new best friend,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
loves twitter,1,loves twitter,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
how can you not love obama he makes jokes about himself,1,how can you not love obama he makes jokes about himself,0.3726541554959786,0.6273458445040215,0.0,0.25469168900804284,0.7453083109919572,0.0,0.0,0.7453083109919569,0.25469168900804307,4.832627034108969,Neutral
i firmly believe that obama pelosi have zero desire to be civil itis a charade and a slogan but they want to destroy conservatism,0,i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0.4110032362459547,0.5889967637540453,0.0,0.1779935275080906,0.8220064724919094,0.0,0.0,0.8220064724919094,0.1779935275080906,4.915767002458699,Neutral
house correspondents dinner was last night whoopi barbara & sherri went obama got a standing ovation,1,house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000001,Neutral
watchin Entertainment and Sports Programming Network just seen this new nike commerical with a puppet lebron sh t was hilarious laughing my ass off,1,watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,0.7128712871287128,0.2871287128712871,0.0,0.0,0.5742574257425743,0.4257425742574257,0.4257425742574258,0.5742574257425742,0.0,5.432282879750969,Neutral
dear nike stop with the flywire that shit is a waste of science and ugly love,0,dear nike stop with the flywire that shit is a waste of science and ugly love,0.3629629629629629,0.637037037037037,0.0,0.27407407407407425,0.7259259259259258,0.0,0.0,0.7259259259259261,0.2740740740740739,4.8064735752177254,Neutral
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,1,lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0,i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0.219672131147541,0.780327868852459,0.0,0.560655737704918,0.439344262295082,0.0,0.0,0.43934426229508206,0.560655737704918,4.237423498292874,Neutral
i love lebron,1,i love lebron,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
lebron is a beast but i m still cheering the a until the end,0,lebron is a beast but i m still cheering the a til the end,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
lebron is the boss,1,lebron is the boss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000001,Neutral
lebron is a hometown hero to me laughing out loud i love the lakers but letis go cavs laughing out loud,1,lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
lebron and zydrunas are such an awesome duo,1,lebron and zydrunas are such an awesome duo,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.333333333333334,Positive
